,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Pressure_tmp
1418,1418,19/3/2021,10:29:38:754,285.71,30.42,429.32,0.552,937.747,253.41
1419,1419,19/3/2021,10:29:38:863,286.21,30.4,414.42,0.5539999999999999,937.897,253.41
1420,1420,19/3/2021,10:29:38:972,286.61,30.38,450.72,0.555,937.747,253.41
1421,1421,19/3/2021,10:29:39:82,287.11,30.4,409.52,0.555,937.747,253.41
1422,1422,19/3/2021,10:29:39:191,288.11,30.38,411.92,0.555,937.747,253.41
1423,1423,19/3/2021,10:29:39:300,286.21,30.46,415.62,0.5539999999999999,937.747,253.41
1424,1424,19/3/2021,10:29:39:472,287.11,30.4,442.42,0.5529999999999999,937.597,253.41
1425,1425,19/3/2021,10:29:39:519,286.21,30.44,407.72,0.5529999999999999,937.597,253.41
1426,1426,19/3/2021,10:29:39:628,287.11,30.42,407.32,0.552,937.597,253.41
1427,1427,19/3/2021,10:29:39:738,286.61,30.34,408.92,0.552,937.747,253.41
1428,1428,19/3/2021,10:29:39:847,286.61,30.28,434.52,0.552,937.747,253.41
1429,1429,19/3/2021,10:29:39:956,286.61,30.36,429.92,0.552,937.747,253.41
1430,1430,19/3/2021,10:29:40:66,286.61,30.4,435.12,0.552,937.747,253.41
1431,1431,19/3/2021,10:29:40:191,287.11,30.42,420.22,0.552,937.747,253.41
1432,1432,19/3/2021,10:29:40:285,285.71,30.46,423.82,0.5529999999999999,937.897,253.41
1433,1433,19/3/2021,10:29:40:457,287.11,30.36,453.12,0.552,937.747,253.41
1434,1434,19/3/2021,10:29:40:503,286.21,30.38,431.52,0.5529999999999999,937.897,253.41
1435,1435,19/3/2021,10:29:40:614,286.21,30.32,432.72,0.5529999999999999,937.897,253.41
1436,1436,19/3/2021,10:29:40:723,287.11,30.34,433.02,0.5529999999999999,937.897,253.41
1437,1437,19/3/2021,10:29:40:833,286.61,30.34,435.72,0.5529999999999999,937.747,253.41
1438,1438,19/3/2021,10:29:40:942,286.61,30.42,430.52,0.5529999999999999,937.897,253.41
1439,1439,19/3/2021,10:29:41:51,286.61,30.4,438.22,0.552,937.897,253.41
1440,1440,19/3/2021,10:29:41:192,286.61,30.4,420.22,0.552,937.897,253.41
1441,1441,19/3/2021,10:29:41:270,286.61,30.38,440.62,0.551,937.897,253.41
1442,1442,19/3/2021,10:29:41:379,285.71,30.44,406.72,0.551,938.047,253.41
1443,1443,19/3/2021,10:29:41:489,286.61,30.38,427.52,0.551,938.047,253.41
1444,1444,19/3/2021,10:29:41:598,287.11,30.32,427.52,0.551,937.897,253.41
1445,1445,19/3/2021,10:29:41:707,286.61,30.36,428.42,0.551,938.047,253.41
1446,1446,19/3/2021,10:29:41:817,286.61,30.34,428.72,0.551,937.897,253.41
1447,1447,19/3/2021,10:29:41:941,286.61,30.46,429.92,0.552,937.897,253.41
1448,1448,19/3/2021,10:29:42:35,286.21,30.4,415.32,0.5529999999999999,937.897,253.41
1449,1449,19/3/2021,10:29:42:191,286.61,30.28,428.12,0.557,937.897,253.41
1450,1450,19/3/2021,10:29:42:254,286.61,30.4,426.62,0.557,937.747,253.41
1451,1451,19/3/2021,10:29:42:364,286.61,30.48,434.22,0.556,937.597,253.41
1452,1452,19/3/2021,10:29:42:473,286.21,30.42,429.62,0.5539999999999999,937.597,253.41
1453,1453,19/3/2021,10:29:42:583,288.11,30.36,434.22,0.5529999999999999,937.597,253.41
1454,1454,19/3/2021,10:29:42:692,287.11,30.48,433.62,0.552,937.597,253.41
1455,1455,19/3/2021,10:29:42:802,285.71,30.4,433.32,0.552,937.597,253.41
1456,1456,19/3/2021,10:29:42:942,286.61,30.18,432.12,0.551,937.597,253.41
1457,1457,19/3/2021,10:29:43:25,286.61,30.36,424.42,0.552,937.747,253.41
1458,1458,19/3/2021,10:29:43:137,286.61,30.38,444.92,0.551,937.747,253.41
1459,1459,19/3/2021,10:29:43:246,286.61,30.4,446.42,0.551,937.597,253.41
1460,1460,19/3/2021,10:29:43:356,286.21,30.34,408.32,0.551,937.897,253.41
1461,1461,19/3/2021,10:29:43:465,286.61,30.42,429.02,0.551,937.747,253.41
1462,1462,19/3/2021,10:29:43:575,286.61,30.46,413.52,0.551,937.897,253.41
1463,1463,19/3/2021,10:29:43:699,286.21,30.42,428.12,0.551,937.897,253.41
1464,1464,19/3/2021,10:29:43:793,286.61,30.44,429.32,0.551,937.897,253.41
1465,1465,19/3/2021,10:29:43:950,287.61,30.38,429.32,0.551,937.897,253.41
1466,1466,19/3/2021,10:29:44:12,287.61,30.38,432.72,0.551,937.897,253.41
1467,1467,19/3/2021,10:29:44:122,287.61,30.42,429.92,0.551,937.897,253.41
1468,1468,19/3/2021,10:29:44:231,286.21,30.46,443.72,0.552,937.897,253.41
1469,1469,19/3/2021,10:29:44:341,286.61,30.4,432.12,0.552,937.897,253.41
1470,1470,19/3/2021,10:29:44:450,286.61,30.42,444.32,0.552,937.897,253.41
1471,1471,19/3/2021,10:29:44:560,285.71,30.42,432.42,0.5529999999999999,937.897,253.41
1472,1472,19/3/2021,10:29:44:700,286.21,30.38,435.12,0.5539999999999999,937.897,253.41
1473,1473,19/3/2021,10:29:44:778,287.61,30.44,429.02,0.555,937.747,253.41
1474,1474,19/3/2021,10:29:44:888,286.21,30.4,435.12,0.555,937.747,253.41
1475,1475,19/3/2021,10:29:44:997,287.61,30.38,431.52,0.5539999999999999,937.747,253.41
1476,1476,19/3/2021,10:29:45:106,286.21,30.32,431.22,0.5529999999999999,937.747,253.41
1477,1477,19/3/2021,10:29:45:216,286.21,30.34,449.52,0.5529999999999999,937.897,253.41
1478,1478,19/3/2021,10:29:45:325,286.61,30.46,429.92,0.5529999999999999,937.747,253.41
1479,1479,19/3/2021,10:29:45:465,286.21,30.51,426.92,0.552,937.747,253.41
1480,1480,19/3/2021,10:29:45:544,286.21,30.42,448.62,0.5529999999999999,937.747,253.41
