Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
790,790,26/1/2021,11:7:47:857,276.91,31.43,424.12,0.5539999999999999,941.897,425.3556186827405,276.91
791,791,26/1/2021,11:7:47:956,276.91,31.45,415.62,0.5539999999999999,941.897,425.5118581706782,276.91
792,792,26/1/2021,11:7:48:96,277.81,31.41,425.42,0.5539999999999999,941.747,425.6677392177119,276.91
793,793,26/1/2021,11:7:48:175,277.81,31.47,426.02,0.5539999999999999,941.747,425.8229308524032,276.91
794,794,26/1/2021,11:7:48:284,276.91,31.43,429.62,0.5539999999999999,941.747,425.9770651773396,276.91
795,795,26/1/2021,11:7:48:393,276.41,31.45,436.32,0.5539999999999999,941.747,426.1297889857521,276.91
796,796,26/1/2021,11:7:48:503,277.41,31.43,440.62,0.5539999999999999,941.747,426.28082466055946,276.91
797,797,26/1/2021,11:7:48:612,275.91,31.49,419.62,0.5539999999999999,941.897,426.4300179273024,276.91
798,798,26/1/2021,11:7:48:721,276.41,31.47,424.42,0.5539999999999999,941.747,426.5773130647104,276.91
799,799,26/1/2021,11:7:48:846,276.91,31.37,421.72,0.5539999999999999,941.897,426.72266708490884,276.91
800,800,26/1/2021,11:7:48:940,276.91,31.43,424.12,0.5539999999999999,941.747,426.86598959545256,276.91
801,801,26/1/2021,11:7:49:96,276.41,31.49,426.92,0.5539999999999999,941.747,427.00713506955526,276.91
802,802,26/1/2021,11:7:49:159,275.91,31.37,423.82,0.5539999999999999,941.897,427.1459167041906,276.91
803,803,26/1/2021,11:7:49:268,276.91,31.47,438.52,0.5539999999999999,941.747,427.28212957853583,276.91
804,804,26/1/2021,11:7:49:377,276.41,31.45,442.42,0.5539999999999999,941.897,427.4156047687674,276.91
805,805,26/1/2021,11:7:49:487,276.41,31.49,424.42,0.5539999999999999,941.747,427.54628154706535,276.91
806,806,26/1/2021,11:7:49:597,275.91,31.47,443.12,0.5539999999999999,941.747,427.67423046369936,276.91
807,807,26/1/2021,11:7:49:706,276.41,31.37,424.72,0.5539999999999999,941.897,427.7996305316965,276.91
808,808,26/1/2021,11:7:49:847,276.41,31.45,432.72,0.5539999999999999,941.897,427.92274625816026,276.91
809,809,26/1/2021,11:7:49:926,275.91,31.43,421.72,0.5539999999999999,941.897,428.0438938880584,276.91
810,810,26/1/2021,11:7:50:36,275.91,31.41,409.82,0.5539999999999999,941.897,428.1633782269941,276.91
811,811,26/1/2021,11:7:50:145,275.91,31.49,422.92,0.5529999999999999,941.747,428.28140598829225,276.91
812,812,26/1/2021,11:7:50:255,275.91,31.53,405.82,0.5539999999999999,941.897,428.3980136023283,276.91
813,813,26/1/2021,11:7:50:364,276.91,31.47,441.82,0.5539999999999999,941.747,428.5130532796817,276.91
814,814,26/1/2021,11:7:50:473,276.41,31.45,442.42,0.5539999999999999,941.747,428.6262716607828,276.91
815,815,26/1/2021,11:7:50:598,276.41,31.45,424.42,0.5539999999999999,941.747,428.7374495492002,276.91
816,816,26/1/2021,11:7:50:692,276.41,31.49,426.02,0.5539999999999999,941.897,428.8464587663822,276.91
817,817,26/1/2021,11:7:50:864,275.91,31.49,429.32,0.5539999999999999,941.747,428.9532019927796,276.91
818,818,26/1/2021,11:7:50:911,275.91,31.49,429.32,0.5539999999999999,941.747,429.057563664285,276.91
819,819,26/1/2021,11:7:51:20,276.91,31.39,428.42,0.5539999999999999,941.747,429.15941542752563,276.91
820,820,26/1/2021,11:7:51:129,276.91,31.45,422.02,0.5539999999999999,941.897,429.25861919399057,276.91
821,821,26/1/2021,11:7:51:239,276.91,31.41,426.92,0.5539999999999999,941.747,429.35500331310976,276.91
822,822,26/1/2021,11:7:51:348,275.91,31.45,422.32,0.5539999999999999,941.897,429.44833469035257,276.91
823,823,26/1/2021,11:7:51:457,276.91,31.45,425.72,0.5539999999999999,941.747,429.5383054828668,276.91
824,824,26/1/2021,11:7:51:598,276.41,31.41,439.72,0.5539999999999999,941.747,429.6245445202773,276.91
825,825,26/1/2021,11:7:51:676,276.41,31.47,439.72,0.5539999999999999,941.747,429.7066772544595,276.91
826,826,26/1/2021,11:7:51:786,276.91,31.45,430.22,0.5529999999999999,941.747,429.78440586026,276.91
827,827,26/1/2021,11:7:51:895,276.41,31.47,436.02,0.5529999999999999,941.747,429.8575344862035,276.91
828,828,26/1/2021,11:7:52:4,276.41,31.41,440.62,0.5529999999999999,941.747,429.92595321732284,276.91
829,829,26/1/2021,11:7:52:113,276.91,31.43,441.52,0.5529999999999999,941.897,429.9896526382777,276.91
830,830,26/1/2021,11:7:52:223,276.41,31.47,429.92,0.5529999999999999,941.747,430.0487552456066,276.91
831,831,26/1/2021,11:7:52:348,275.91,31.47,401.92,0.5529999999999999,941.897,430.1034707559726,276.91
832,832,26/1/2021,11:7:52:454,276.41,31.45,419.92,0.5529999999999999,941.897,430.1539436092164,276.91
833,833,26/1/2021,11:7:52:610,276.41,31.45,419.62,0.5529999999999999,941.897,430.20011380545685,276.91
834,834,26/1/2021,11:7:52:673,276.91,31.47,431.52,0.5529999999999999,941.747,430.2417113385529,276.91
835,835,26/1/2021,11:7:52:782,277.41,31.45,437.92,0.5529999999999999,941.747,430.2783493085595,276.91
836,836,26/1/2021,11:7:52:892,276.41,31.43,442.42,0.5529999999999999,941.747,430.30963866219554,276.91
837,837,26/1/2021,11:7:53:1,276.91,31.39,444.32,0.5529999999999999,941.747,430.3352906234925,276.91
838,838,26/1/2021,11:7:53:110,276.91,31.39,408.62,0.5539999999999999,941.897,430.355151711323,276.91
839,839,26/1/2021,11:7:53:220,276.41,31.43,425.12,0.5539999999999999,941.747,430.3691150690222,276.91
840,840,26/1/2021,11:7:53:360,277.41,31.39,440.32,0.5539999999999999,941.747,430.3770022326806,276.91
841,841,26/1/2021,11:7:53:439,277.41,31.43,444.92,0.5539999999999999,941.747,430.37858583588957,276.91
842,842,26/1/2021,11:7:53:548,276.91,31.37,420.82,0.5539999999999999,941.897,430.37370243661536,276.91
843,843,26/1/2021,11:7:53:657,277.41,31.51,440.02,0.5539999999999999,941.897,430.3622795115928,276.91
844,844,26/1/2021,11:7:53:767,276.41,31.47,443.72,0.5529999999999999,941.747,430.3443057842253,276.91
845,845,26/1/2021,11:7:53:876,276.91,31.39,442.82,0.5529999999999999,941.747,430.3198677843504,276.91
846,846,26/1/2021,11:7:53:985,276.41,31.43,443.12,0.5529999999999999,941.747,430.2892199647648,276.91
847,847,26/1/2021,11:7:54:102,276.41,31.45,411.92,0.5529999999999999,941.897,430.2527837150956,276.91
848,848,26/1/2021,11:7:54:196,277.41,31.43,438.82,0.5529999999999999,941.747,430.21105420099786,276.91
849,849,26/1/2021,11:7:54:368,276.91,31.47,437.92,0.5529999999999999,941.747,430.1645227040028,276.91
850,850,26/1/2021,11:7:54:415,276.91,31.39,422.02,0.5539999999999999,941.747,430.1136942404032,276.91
851,851,26/1/2021,11:7:54:525,276.91,31.37,421.12,0.5539999999999999,941.747,430.05909462340674,276.91
852,852,26/1/2021,11:7:54:634,276.91,31.41,418.62,0.5539999999999999,941.747,430.001194978094,276.91
853,853,26/1/2021,11:7:54:743,276.41,31.45,421.12,0.5539999999999999,941.897,429.9403370959575,276.91
854,854,26/1/2021,11:7:54:852,276.41,31.45,413.82,0.5539999999999999,941.897,429.87670331895373,276.91
855,855,26/1/2021,11:7:54:962,276.91,31.45,439.42,0.5539999999999999,941.747,429.81031797551316,276.91
856,856,26/1/2021,11:7:55:103,276.41,31.39,439.72,0.5539999999999999,941.747,429.7411131381814,276.91
857,857,26/1/2021,11:7:55:181,276.41,31.43,439.42,0.5539999999999999,941.747,429.66905431281924,276.91
858,858,26/1/2021,11:7:55:290,276.41,31.47,436.62,0.5539999999999999,941.747,429.5942321310277,276.91
859,859,26/1/2021,11:7:55:399,276.41,31.45,433.32,0.5539999999999999,941.747,429.5168737154042,276.91
860,860,26/1/2021,11:7:55:509,277.81,31.47,430.82,0.5539999999999999,941.747,429.4373112679869,276.91
861,861,26/1/2021,11:7:55:618,276.91,31.45,444.02,0.5539999999999999,941.897,429.35595586693483,276.91
862,862,26/1/2021,11:7:55:728,276.91,31.45,406.12,0.555,941.897,429.27328300146485,276.91
863,863,26/1/2021,11:7:55:853,277.41,31.35,420.82,0.5539999999999999,941.897,429.1897645862922,276.91
864,864,26/1/2021,11:7:55:946,276.41,31.53,420.52,0.5539999999999999,941.897,429.10575456890496,276.91
865,865,26/1/2021,11:7:56:118,276.41,31.39,420.82,0.5539999999999999,941.897,429.0214403886317,276.91
866,866,26/1/2021,11:7:56:165,276.91,31.41,433.62,0.5539999999999999,941.897,428.93687657108,276.91
867,867,26/1/2021,11:7:56:274,276.41,31.39,430.52,0.5539999999999999,941.897,428.85204788216055,276.91
868,868,26/1/2021,11:7:56:384,276.41,31.43,427.22,0.5539999999999999,941.747,428.76693112102964,276.91
869,869,26/1/2021,11:7:56:493,276.41,31.41,423.22,0.5539999999999999,941.747,428.68151175745885,276.91
870,870,26/1/2021,11:7:56:602,276.91,31.45,424.72,0.5539999999999999,941.747,428.59575219513465,276.91
871,871,26/1/2021,11:7:56:712,275.91,31.47,415.62,0.5539999999999999,941.747,428.50955077381775,276.91
872,872,26/1/2021,11:7:56:868,276.41,31.43,438.22,0.5539999999999999,941.747,428.4227196020093,276.91
873,873,26/1/2021,11:7:56:930,274.41,31.41,412.22,0.555,941.897,428.33499741307406,276.91
874,874,26/1/2021,11:7:57:40,277.41,31.39,422.62,0.555,941.747,428.2460578475112,276.91
875,875,26/1/2021,11:7:57:149,276.41,31.35,412.52,0.555,941.897,428.1554686883802,276.91
876,876,26/1/2021,11:7:57:259,276.91,31.49,425.72,0.5539999999999999,941.747,428.0626481904292,276.91
877,877,26/1/2021,11:7:57:374,275.91,31.47,441.82,0.5539999999999999,941.747,427.9668898097812,276.91
878,878,26/1/2021,11:7:57:472,277.41,31.45,439.42,0.5539999999999999,941.747,427.86747211947164,276.91
879,879,26/1/2021,11:7:57:597,276.91,31.39,421.72,0.5539999999999999,941.747,427.76376955125085,276.91
880,880,26/1/2021,11:7:57:691,276.41,31.39,439.12,0.5539999999999999,941.747,427.65526351062965,276.91
881,881,26/1/2021,11:7:57:863,277.41,31.45,440.62,0.5539999999999999,941.747,427.5415161036377,276.91
882,882,26/1/2021,11:7:57:910,277.41,31.45,440.62,0.5539999999999999,941.747,427.4222081174568,276.91
883,883,26/1/2021,11:7:58:19,277.41,31.39,432.72,0.5539999999999999,941.747,427.2971924928158,276.91
884,884,26/1/2021,11:7:58:128,276.91,31.35,404.02,0.5539999999999999,941.747,427.16646019579287,276.91
885,885,26/1/2021,11:7:58:238,276.91,31.33,436.32,0.5539999999999999,941.747,427.0300169309886,276.91
886,886,26/1/2021,11:7:58:363,276.91,31.37,420.82,0.5539999999999999,941.747,426.88779730058326,276.91
887,887,26/1/2021,11:7:58:457,276.41,31.43,439.12,0.5539999999999999,941.747,426.7396936593945,276.91
