,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
99,25/3/2021,11:30:45:440,980.25,31.65,1294.36,0.56,952.848,1284.8267693093464,979.75
100,25/3/2021,11:30:45:487,978.25,31.65,1280.66,0.56,952.848,1284.7632251106802,979.75
101,25/3/2021,11:30:45:597,980.75,31.65,1276.96,0.56,952.848,1284.702814462551,979.75
102,25/3/2021,11:30:45:706,978.25,31.67,1290.06,0.56,952.848,1284.646018184862,979.75
103,25/3/2021,11:30:45:815,979.25,31.71,1278.46,0.56,952.848,1284.5932802148154,979.75
104,25/3/2021,11:30:45:924,980.75,31.67,1294.36,0.56,952.848,1284.54502760712,979.75
105,25/3/2021,11:30:46:34,981.15,31.69,1274.56,0.56,952.848,1284.5016936897255,979.75
106,25/3/2021,11:30:46:174,979.75,31.59,1274.26,0.56,952.848,1284.463701841982,979.75
107,25/3/2021,11:30:46:253,980.75,31.67,1275.16,0.56,952.848,1284.4314007200778,979.75
108,25/3/2021,11:30:46:362,980.25,31.65,1275.46,0.56,952.848,1284.4050051543938,979.75
109,25/3/2021,11:30:46:471,978.25,31.65,1274.56,0.56,952.848,1284.3845817287124,979.75
110,25/3/2021,11:30:46:581,980.25,31.65,1275.16,0.56,952.848,1284.370051239908,979.75
111,25/3/2021,11:30:46:690,978.75,31.67,1278.46,0.56,952.848,1284.3611913581888,979.75
112,25/3/2021,11:30:46:799,979.75,31.65,1278.76,0.56,952.848,1284.3576503157394,979.75
113,25/3/2021,11:30:46:924,979.25,31.69,1300.77,0.56,952.848,1284.3589904615844,979.75
114,25/3/2021,11:30:47:18,978.25,31.71,1296.16,0.56,952.848,1284.3647849114454,979.75
115,25/3/2021,11:30:47:190,981.65,31.63,1272.66,0.56,952.848,1284.3747098199494,979.75
116,25/3/2021,11:30:47:237,979.25,31.65,1294.06,0.56,952.848,1284.3885326662805,979.75
117,25/3/2021,11:30:47:347,978.75,31.61,1290.96,0.56,952.848,1284.40605852387,979.75
118,25/3/2021,11:30:47:456,979.75,31.71,1275.76,0.56,952.848,1284.4271319822665,979.75
119,25/3/2021,11:30:47:566,979.75,31.73,1275.16,0.56,952.998,1284.451619415663,979.75
120,25/3/2021,11:30:47:675,980.25,31.67,1274.56,0.56,952.998,1284.4793255532945,979.75
121,25/3/2021,11:30:47:784,979.25,31.61,1275.76,0.56,952.848,1284.509926090688,979.75
122,25/3/2021,11:30:47:925,981.15,31.61,1291.66,0.5589999999999999,952.848,1284.5429667721276,979.75
123,25/3/2021,11:30:48:3,980.25,31.69,1287.06,0.5589999999999999,952.848,1284.577924560217,979.75
124,25/3/2021,11:30:48:113,979.75,31.65,1278.46,0.56,952.848,1284.6142779364054,979.75
125,25/3/2021,11:30:48:222,978.75,31.57,1313.57,0.5589999999999999,952.848,1284.651543335896,979.75
126,25/3/2021,11:30:48:332,980.75,31.71,1288.86,0.56,952.848,1284.6893346963232,979.75
127,25/3/2021,11:30:48:441,979.25,31.65,1316.37,0.56,952.848,1284.7274607383722,979.75
128,25/3/2021,11:30:48:550,979.75,31.65,1291.66,0.56,952.848,1284.7659915904505,979.75
129,25/3/2021,11:30:48:675,979.25,31.63,1276.06,0.56,952.848,1284.805245406006,979.75
130,25/3/2021,11:30:48:769,979.75,31.69,1274.26,0.56,952.848,1284.8456637605725,979.75
131,25/3/2021,11:30:48:941,979.25,31.71,1290.36,0.56,952.848,1284.8876588482867,979.75
132,25/3/2021,11:30:48:988,979.25,31.67,1279.66,0.56,952.848,1284.931569726668,979.75
133,25/3/2021,11:30:49:97,980.75,31.69,1277.86,0.561,952.848,1284.9776901394873,979.75
134,25/3/2021,11:30:49:206,979.25,31.69,1290.96,0.56,952.848,1285.026272023308,979.75
135,25/3/2021,11:30:49:316,979.75,31.59,1279.66,0.56,952.848,1285.0775282971085,979.75
136,25/3/2021,11:30:49:425,978.75,31.63,1313.87,0.56,952.848,1285.131680588244,979.75
137,25/3/2021,11:30:49:535,978.75,31.67,1273.26,0.561,952.848,1285.1890355145356,979.75
138,25/3/2021,11:30:49:675,980.25,31.71,1271.76,0.56,952.848,1285.2499928297204,979.75
139,25/3/2021,11:30:49:753,980.75,31.61,1272.66,0.56,952.848,1285.3149243397952,979.75
140,25/3/2021,11:30:49:863,979.75,31.65,1273.86,0.56,952.848,1285.3840437801794,979.75
141,25/3/2021,11:30:49:972,980.75,31.61,1273.86,0.56,952.848,1285.4573702873981,979.75
142,25/3/2021,11:30:50:81,978.75,31.67,1285.46,0.56,952.848,1285.5347477055534,979.75
143,25/3/2021,11:30:50:190,980.75,31.71,1281.56,0.561,952.848,1285.6158904561862,979.75
144,25/3/2021,11:30:50:300,979.75,31.63,1277.86,0.561,952.848,1285.7004325646624,979.75
145,25/3/2021,11:30:50:425,980.75,31.69,1294.96,0.56,952.698,1285.7879510736545,979.75
146,25/3/2021,11:30:50:518,979.75,31.63,1294.36,0.56,952.848,1285.878005302593,979.75
147,25/3/2021,11:30:50:675,980.75,31.69,1271.76,0.561,952.848,1285.9701929347627,979.75
148,25/3/2021,11:30:50:737,979.25,31.71,1294.06,0.56,952.848,1286.0641417874472,979.75
149,25/3/2021,11:30:50:847,978.75,31.67,1300.46,0.56,952.848,1286.1594836992208,979.75
150,25/3/2021,11:30:50:956,979.75,31.69,1276.06,0.56,952.848,1286.2558959830678,979.75
151,25/3/2021,11:30:51:65,980.25,31.73,1288.86,0.56,952.848,1286.3531196435315,979.75
152,25/3/2021,11:30:51:175,979.25,31.59,1287.06,0.56,952.848,1286.4509099833158,979.75
153,25/3/2021,11:30:51:284,979.25,31.77,1281.86,0.56,952.848,1286.5490089479313,979.75
154,25/3/2021,11:30:51:424,979.75,31.65,1300.17,0.56,952.848,1286.6471567788838,979.75
155,25/3/2021,11:30:51:503,981.15,31.73,1272.36,0.56,952.848,1286.7451098264175,979.75
156,25/3/2021,11:30:51:612,979.25,31.67,1275.76,0.56,952.848,1286.84261894655,979.75
157,25/3/2021,11:30:51:721,980.25,31.71,1294.66,0.56,952.698,1286.9393632876295,979.75
158,25/3/2021,11:30:51:831,980.25,31.65,1294.36,0.56,952.848,1287.034951472897,979.75
159,25/3/2021,11:30:51:940,979.75,31.65,1294.96,0.56,952.848,1287.129016255771,979.75
160,25/3/2021,11:30:52:50,979.75,31.71,1291.26,0.56,952.848,1287.2212870617732,979.75
161,25/3/2021,11:30:52:174,979.25,31.69,1290.66,0.56,952.848,1287.3115942773695,979.75
162,25/3/2021,11:30:52:268,979.25,31.71,1290.06,0.56,952.848,1287.3998452802032,979.75
163,25/3/2021,11:30:52:424,979.25,31.63,1306.87,0.56,952.848,1287.4860197239702,979.75
164,25/3/2021,11:30:52:487,980.25,31.71,1281.86,0.56,952.848,1287.5701998902193,979.75
165,25/3/2021,11:30:52:596,981.15,31.73,1277.26,0.56,952.848,1287.6525627298454,979.75
166,25/3/2021,11:30:52:705,980.25,31.65,1310.87,0.56,952.848,1287.733312017807,979.75
167,25/3/2021,11:30:52:815,979.75,31.71,1280.96,0.56,952.848,1287.8126709213345,979.75
168,25/3/2021,11:30:52:924,979.25,31.69,1292.26,0.56,952.848,1287.8909294188811,979.75
169,25/3/2021,11:30:53:34,978.75,31.65,1273.86,0.56,952.848,1287.9684208013807,979.75
170,25/3/2021,11:30:53:174,979.25,31.57,1289.76,0.56,952.848,1288.0454463882745,979.75
171,25/3/2021,11:30:53:252,978.75,31.65,1288.86,0.56,952.848,1288.122242703998,979.75
172,25/3/2021,11:30:53:362,978.75,31.69,1288.86,0.56,952.848,1288.1990090475774,979.75
173,25/3/2021,11:30:53:471,979.75,31.63,1291.96,0.56,952.848,1288.2759481360933,979.75
174,25/3/2021,11:30:53:581,979.25,31.65,1282.16,0.5589999999999999,952.848,1288.3532794381438,979.75
175,25/3/2021,11:30:53:690,979.25,31.61,1276.96,0.5589999999999999,952.848,1288.4312119289634,979.75
176,25/3/2021,11:30:53:799,978.75,31.57,1272.66,0.56,952.848,1288.5098731427984,979.75
177,25/3/2021,11:30:53:939,979.75,31.67,1304.77,0.5589999999999999,952.848,1288.589256855911,979.75
178,25/3/2021,11:30:54:18,979.25,31.75,1282.16,0.5589999999999999,952.848,1288.669270071725,979.75
179,25/3/2021,11:30:54:174,979.75,31.57,1292.56,0.56,952.848,1288.749819780845,979.75
180,25/3/2021,11:30:54:237,980.25,31.55,1277.26,0.5589999999999999,952.848,1288.830826129107,979.75
181,25/3/2021,11:30:54:346,978.75,31.71,1298.66,0.5589999999999999,952.848,1288.912186311071,979.75
182,25/3/2021,11:30:54:456,979.25,31.73,1294.66,0.56,952.848,1288.9937818801689,979.75
183,25/3/2021,11:30:54:565,979.25,31.45,1287.96,0.56,952.848,1289.0755310278985,979.75
184,25/3/2021,11:30:54:674,980.75,31.69,1283.36,0.56,952.848,1289.1574018441422,979.75
185,25/3/2021,11:30:54:784,981.15,31.63,1277.26,0.56,952.698,1289.2393532020262,979.75
186,25/3/2021,11:30:54:924,980.75,31.67,1311.47,0.5589999999999999,952.698,1289.321286087194,979.75
187,25/3/2021,11:30:55:3,978.75,31.65,1269.66,0.56,952.848,1289.4030748288314,979.75
188,25/3/2021,11:30:55:112,979.75,31.67,1273.26,0.56,952.848,1289.4845781312115,979.75
189,25/3/2021,11:30:55:221,979.25,31.53,1293.16,0.5589999999999999,952.698,1289.5655540918974,979.75
190,25/3/2021,11:30:55:331,979.75,31.73,1291.26,0.5589999999999999,952.848,1289.645626032362,979.75
191,25/3/2021,11:30:55:440,981.15,31.67,1293.46,0.5589999999999999,952.848,1289.7243656947635,979.75
192,25/3/2021,11:30:55:550,981.15,31.69,1289.76,0.5589999999999999,952.848,1289.8013670018688,979.75
193,25/3/2021,11:30:55:675,979.25,31.59,1289.76,0.56,952.698,1289.8762552679,979.75
194,25/3/2021,11:30:55:768,979.25,31.71,1287.96,0.56,952.848,1289.9486693209046,979.75
195,25/3/2021,11:30:55:940,980.75,31.63,1311.47,0.56,952.698,1290.0182639555005,979.75
196,25/3/2021,11:30:55:987,979.75,31.61,1279.06,0.56,952.848,1290.0847547748074,979.75
197,25/3/2021,11:30:56:97,979.75,31.61,1292.26,0.56,952.848,1290.1479340975702,979.75
198,25/3/2021,11:30:56:206,979.75,31.63,1311.17,0.56,952.698,1290.2076401634986,979.75
199,25/3/2021,11:30:56:311,978.75,31.61,1311.47,0.56,952.698,1290.2638039515807,979.75
200,25/3/2021,11:30:56:426,979.25,31.59,1313.27,0.56,952.698,1290.3165817286424,979.75
201,25/3/2021,11:30:56:536,978.75,31.65,1277.86,0.56,952.848,1290.3664150641682,979.75
202,25/3/2021,11:30:56:676,980.75,31.69,1291.26,0.56,952.698,1290.4139350701594,979.75
203,25/3/2021,11:30:56:755,980.75,31.63,1291.26,0.56,952.698,1290.4598139860611,979.75
204,25/3/2021,11:30:56:865,979.25,31.75,1291.66,0.56,952.698,1290.5047068459046,979.75
205,25/3/2021,11:30:56:974,979.25,31.65,1287.06,0.56,952.848,1290.5492655731234,979.75
206,25/3/2021,11:30:57:83,980.75,31.69,1281.26,0.56,952.698,1290.5941300817406,979.75
207,25/3/2021,11:30:57:192,978.75,31.69,1276.66,0.56,952.698,1290.639875100924,979.75
208,25/3/2021,11:30:57:302,979.75,31.67,1291.96,0.56,952.848,1290.6869549470039,979.75
209,25/3/2021,11:30:57:427,978.75,31.79,1274.56,0.56,952.848,1290.7356914917038,979.75
210,25/3/2021,11:30:57:521,978.75,31.63,1293.16,0.56,952.698,1290.7862896160966,979.75
211,25/3/2021,11:30:57:677,978.75,31.65,1290.06,0.56,952.698,1290.8388593696845,979.75
212,25/3/2021,11:30:57:739,982.65,31.69,1276.36,0.56,952.698,1290.8934456115478,979.75
213,25/3/2021,11:30:57:849,979.75,31.65,1294.96,0.56,952.698,1290.9500293354115,979.75
214,25/3/2021,11:30:57:958,982.15,31.65,1287.06,0.56,952.848,1291.0085175518802,979.75
215,25/3/2021,11:30:58:67,979.25,31.65,1290.06,0.56,952.848,1291.06876688798,979.75
216,25/3/2021,11:30:58:176,979.25,31.69,1280.66,0.56,952.848,1291.1305981839434,979.75
217,25/3/2021,11:30:58:286,979.25,31.73,1291.66,0.56,952.848,1291.1937744863021,979.75
218,25/3/2021,11:30:58:426,982.65,31.71,1314.77,0.56,952.698,1291.258014530071,979.75
219,25/3/2021,11:30:58:505,979.75,31.73,1296.76,0.56,952.698,1291.3230949787371,979.75
220,25/3/2021,11:30:58:614,978.75,31.79,1272.36,0.56,952.848,1291.3889243516217,979.75
221,25/3/2021,11:30:58:723,979.25,31.63,1293.76,0.56,952.698,1291.45546317931,979.75
222,25/3/2021,11:30:58:833,982.15,31.73,1280.66,0.56,952.848,1291.5226031715704,979.75
223,25/3/2021,11:30:58:942,980.25,31.67,1293.46,0.56,952.698,1291.5901400300438,979.75
224,25/3/2021,11:30:59:52,979.75,31.65,1294.36,0.56,952.848,1291.6578062474996,979.75
225,25/3/2021,11:30:59:176,979.75,31.69,1294.06,0.56,952.848,1291.7253179467536,979.75
226,25/3/2021,11:30:59:270,980.25,31.63,1293.16,0.56,952.848,1291.7924142073255,979.75
227,25/3/2021,11:30:59:426,981.65,31.71,1302.27,0.56,952.848,1291.8588756286438,979.75
228,25/3/2021,11:30:59:489,978.75,31.61,1291.26,0.56,952.848,1291.92454252876,979.75
229,25/3/2021,11:30:59:598,980.25,31.65,1290.96,0.56,952.848,1291.9893201702964,979.75
230,25/3/2021,11:30:59:707,981.15,31.67,1310.57,0.56,952.698,1292.0531659246226,979.75
231,25/3/2021,11:30:59:817,979.25,31.65,1271.76,0.56,952.848,1292.1160910898516,979.75
232,25/3/2021,11:30:59:926,978.75,31.67,1292.86,0.56,952.698,1292.1781319109284,979.75
233,25/3/2021,11:31:0:35,980.75,31.67,1292.86,0.56,952.848,1292.239280009111,979.75
234,25/3/2021,11:31:0:176,978.75,31.67,1290.06,0.56,952.848,1292.2994698751695,979.75
235,25/3/2021,11:31:0:254,978.75,31.63,1293.16,0.56,952.848,1292.3586144823516,979.75
236,25/3/2021,11:31:0:363,979.75,31.65,1291.26,0.56,952.848,1292.41661878326,979.75
237,25/3/2021,11:31:0:473,981.65,31.69,1290.06,0.56,952.848,1292.4733774220665,979.75
238,25/3/2021,11:31:0:582,979.75,31.73,1290.06,0.56,952.848,1292.5287673926555,979.75
239,25/3/2021,11:31:0:692,979.75,31.73,1290.06,0.56,952.848,1292.5826357419498,979.75
240,25/3/2021,11:31:0:801,979.75,31.73,1291.96,0.56,952.848,1292.6347940248972,979.75
241,25/3/2021,11:31:0:926,980.25,31.71,1315.77,0.56,952.698,1292.6850469312926,979.75
242,25/3/2021,11:31:1:20,979.25,31.69,1288.56,0.561,952.848,1292.7332689471928,979.75
243,25/3/2021,11:31:1:176,980.75,31.67,1301.67,0.561,952.848,1292.7794569538146,979.75
244,25/3/2021,11:31:1:238,978.25,31.67,1281.26,0.561,952.848,1292.8236962245414,979.75
245,25/3/2021,11:31:1:348,978.75,31.75,1315.47,0.56,952.698,1292.8661072283874,979.75
246,25/3/2021,11:31:1:457,978.75,31.51,1293.76,0.561,952.848,1292.9068623978335,979.75
247,25/3/2021,11:31:1:567,978.25,31.69,1293.16,0.561,952.848,1292.9462335417531,979.75
248,25/3/2021,11:31:1:676,979.25,31.77,1292.56,0.561,952.848,1292.9845747917382,979.75
249,25/3/2021,11:31:1:785,981.65,31.67,1292.26,0.561,952.698,1293.022264506185,979.75
250,25/3/2021,11:31:1:926,981.65,31.67,1313.57,0.56,952.698,1293.0596972561536,979.75
251,25/3/2021,11:31:2:4,980.25,31.79,1296.76,0.56,952.848,1293.0973452970866,979.75
252,25/3/2021,11:31:2:113,979.25,31.75,1290.06,0.56,952.848,1293.135808817387,979.75
253,25/3/2021,11:31:2:223,980.75,31.75,1292.86,0.56,952.848,1293.1757764093136,979.75
254,25/3/2021,11:31:2:332,978.75,31.67,1289.16,0.56,952.848,1293.217947769771,979.75
255,25/3/2021,11:31:2:441,980.25,31.71,1280.06,0.56,952.848,1293.262983609957,979.75
256,25/3/2021,11:31:2:551,980.25,31.65,1291.26,0.56,952.848,1293.31146314858,979.75
257,25/3/2021,11:31:2:676,978.75,31.71,1290.96,0.56,952.848,1293.3638618487707,979.75
258,25/3/2021,11:31:2:770,980.75,31.71,1308.67,0.56,952.848,1293.420593193817,979.75
259,25/3/2021,11:31:2:942,979.75,31.77,1271.76,0.56,952.848,1293.482074025751,979.75
260,25/3/2021,11:31:2:989,980.25,31.71,1288.56,0.56,952.848,1293.5487094358118,979.75
261,25/3/2021,11:31:3:98,981.15,31.73,1289.16,0.5589999999999999,952.848,1293.6208107288173,979.75
262,25/3/2021,11:31:3:207,979.25,32.02,1301.07,0.5589999999999999,952.698,1293.6985799257975,979.75
263,25/3/2021,11:31:3:317,978.75,31.69,1274.56,0.56,952.848,1293.7821623022285,979.75
264,25/3/2021,11:31:3:426,978.25,31.69,1313.57,0.56,952.698,1293.871668221296,979.75
265,25/3/2021,11:31:3:536,979.75,31.75,1277.86,0.56,952.848,1293.9671811044495,979.75
266,25/3/2021,11:31:3:676,980.25,31.65,1295.26,0.56,952.698,1294.068770167078,979.75
267,25/3/2021,11:31:3:755,977.75,31.81,1293.16,0.56,952.698,1294.1764721217228,979.75
268,25/3/2021,11:31:3:864,981.65,31.69,1310.87,0.56,952.698,1294.2902992290806,979.75
