,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Pressure_tmp
861,861,15/3/2021,13:51:53:686,245.61,31.65,363.42,0.546,935.447,230.01
862,862,15/3/2021,13:51:53:780,246.11,31.67,366.82,0.546,935.447,230.01
863,863,15/3/2021,13:51:53:935,246.11,31.69,351.22,0.546,935.447,230.01
864,864,15/3/2021,13:51:53:998,246.11,31.61,370.42,0.546,935.447,230.01
865,865,15/3/2021,13:51:54:108,246.61,31.61,370.72,0.546,935.447,230.01
866,866,15/3/2021,13:51:54:217,247.11,31.67,371.02,0.546,935.447,230.01
867,867,15/3/2021,13:51:54:326,246.11,31.65,354.22,0.546,935.447,230.01
868,868,15/3/2021,13:51:54:435,246.61,31.53,353.02,0.547,935.447,230.01
869,869,15/3/2021,13:51:54:545,246.61,31.57,373.82,0.546,935.447,230.01
870,870,15/3/2021,13:51:54:701,246.11,31.61,371.92,0.547,935.447,230.01
871,871,15/3/2021,13:51:54:764,246.61,31.65,389.32,0.547,935.447,230.01
872,872,15/3/2021,13:51:54:873,246.11,31.63,351.22,0.547,935.447,230.01
873,873,15/3/2021,13:51:54:982,246.11,31.59,370.42,0.547,935.447,230.01
874,874,15/3/2021,13:51:55:97,246.11,31.51,370.72,0.547,935.447,230.01
875,875,15/3/2021,13:51:55:206,246.11,31.65,371.02,0.547,935.447,230.01
876,876,15/3/2021,13:51:55:316,246.61,31.61,371.02,0.547,935.447,230.01
877,877,15/3/2021,13:51:55:440,245.61,31.55,389.02,0.547,935.297,230.01
878,878,15/3/2021,13:51:55:534,246.11,31.61,357.92,0.547,935.447,230.01
879,879,15/3/2021,13:51:55:706,245.61,31.65,367.72,0.547,935.447,230.01
880,880,15/3/2021,13:51:55:753,245.11,31.73,353.62,0.547,935.447,230.01
881,881,15/3/2021,13:51:55:862,246.11,31.65,387.82,0.547,935.297,230.01
882,882,15/3/2021,13:51:55:971,246.11,31.65,364.92,0.547,935.447,230.01
883,883,15/3/2021,13:51:56:81,246.11,31.55,370.12,0.547,935.297,230.01
884,884,15/3/2021,13:51:56:190,246.11,31.63,370.42,0.547,935.447,230.01
885,885,15/3/2021,13:51:56:300,244.61,31.67,370.42,0.547,935.297,230.01
886,886,15/3/2021,13:51:56:465,246.11,31.65,382.32,0.547,935.447,230.01
887,887,15/3/2021,13:51:56:527,246.61,31.75,371.92,0.546,935.297,230.01
888,888,15/3/2021,13:51:56:637,246.11,31.59,363.12,0.546,935.297,230.01
889,889,15/3/2021,13:51:56:746,246.11,31.61,368.02,0.546,935.297,230.01
890,890,15/3/2021,13:51:56:855,245.61,31.43,359.12,0.546,935.447,230.01
891,891,15/3/2021,13:51:56:965,246.11,31.61,369.22,0.546,935.297,230.01
892,892,15/3/2021,13:51:57:74,246.61,31.63,354.52,0.546,935.447,230.01
893,893,15/3/2021,13:51:57:199,247.11,31.59,371.02,0.546,935.447,230.01
894,894,15/3/2021,13:51:57:293,246.61,31.65,371.02,0.546,935.297,230.01
895,895,15/3/2021,13:51:57:449,246.11,31.65,352.42,0.547,935.447,230.01
896,896,15/3/2021,13:51:57:512,246.61,31.63,372.62,0.546,935.297,230.01
897,897,15/3/2021,13:51:57:621,247.11,31.61,373.22,0.546,935.297,230.01
898,898,15/3/2021,13:51:57:730,246.11,31.67,378.42,0.546,935.297,230.01
899,899,15/3/2021,13:51:57:840,246.11,31.61,377.12,0.546,935.297,230.01
900,900,15/3/2021,13:51:57:949,246.11,31.65,367.72,0.547,935.447,230.01
901,901,15/3/2021,13:51:58:59,245.61,31.63,372.22,0.547,935.447,230.01
902,902,15/3/2021,13:51:58:215,247.11,31.57,370.72,0.546,935.297,230.01
903,903,15/3/2021,13:51:58:277,246.61,31.61,371.32,0.546,935.447,230.01
904,904,15/3/2021,13:51:58:387,246.11,31.61,372.22,0.546,935.297,230.01
905,905,15/3/2021,13:51:58:496,246.61,31.57,373.22,0.546,935.447,230.01
906,906,15/3/2021,13:51:58:605,246.61,31.61,377.72,0.546,935.447,230.01
907,907,15/3/2021,13:51:58:715,246.11,31.67,370.42,0.546,935.447,230.01
908,908,15/3/2021,13:51:58:824,246.61,31.57,388.12,0.546,935.297,230.01
909,909,15/3/2021,13:51:58:949,246.61,31.71,367.42,0.546,935.447,230.01
910,910,15/3/2021,13:51:59:43,246.11,31.65,389.62,0.546,935.297,230.01
911,911,15/3/2021,13:51:59:214,246.11,31.59,371.32,0.546,935.447,230.01
912,912,15/3/2021,13:51:59:261,246.11,31.69,386.02,0.546,935.297,230.01
913,913,15/3/2021,13:51:59:371,245.61,31.57,350.02,0.547,935.447,230.01
914,914,15/3/2021,13:51:59:480,246.61,31.65,376.82,0.547,935.297,230.01
915,915,15/3/2021,13:51:59:590,246.61,31.65,382.32,0.547,935.447,230.01
916,916,15/3/2021,13:51:59:699,246.11,31.67,387.22,0.547,935.297,230.01
917,917,15/3/2021,13:51:59:808,246.11,31.59,389.62,0.547,935.447,230.01
918,918,15/3/2021,13:51:59:964,246.61,31.57,386.32,0.547,935.297,230.01
919,919,15/3/2021,13:52:0:27,246.61,31.67,370.72,0.547,935.297,230.01
920,920,15/3/2021,13:52:0:136,246.11,31.63,358.22,0.547,935.447,230.01
921,921,15/3/2021,13:52:0:246,246.61,31.61,368.62,0.547,935.447,230.01
922,922,15/3/2021,13:52:0:355,246.11,31.71,369.52,0.547,935.447,230.01
923,923,15/3/2021,13:52:0:464,246.11,31.65,371.92,0.547,935.447,230.01
924,924,15/3/2021,13:52:0:574,246.11,31.59,351.52,0.547,935.447,230.01
925,925,15/3/2021,13:52:0:698,246.11,31.61,389.32,0.547,935.447,230.01
926,926,15/3/2021,13:52:0:792,246.11,31.61,388.42,0.547,935.447,230.01
927,927,15/3/2021,13:52:0:948,246.11,31.65,366.82,0.547,935.447,230.01
928,928,15/3/2021,13:52:1:11,246.11,31.51,371.02,0.546,935.297,230.01
929,929,15/3/2021,13:52:1:120,246.61,31.65,371.92,0.546,935.297,230.01
930,930,15/3/2021,13:52:1:230,246.61,31.67,350.02,0.547,935.447,230.01
931,931,15/3/2021,13:52:1:339,246.61,31.59,372.92,0.546,935.447,230.01
932,932,15/3/2021,13:52:1:448,246.61,31.65,350.62,0.547,935.447,230.01
933,933,15/3/2021,13:52:1:558,246.11,31.67,371.62,0.546,935.447,230.01
934,934,15/3/2021,13:52:1:714,246.11,31.59,389.32,0.546,935.297,230.01
935,935,15/3/2021,13:52:1:776,246.11,31.65,371.02,0.546,935.447,230.01
936,936,15/3/2021,13:52:1:886,246.11,31.61,371.02,0.546,935.447,230.01
937,937,15/3/2021,13:52:1:989,247.11,31.63,371.92,0.546,935.297,230.01
938,938,15/3/2021,13:52:2:97,246.61,31.61,367.72,0.546,935.297,230.01
939,939,15/3/2021,13:52:2:207,247.11,31.71,374.72,0.546,935.447,230.01
940,940,15/3/2021,13:52:2:316,247.11,31.63,380.52,0.546,935.447,230.01
941,941,15/3/2021,13:52:2:439,246.11,31.57,367.42,0.546,935.447,230.01
942,942,15/3/2021,13:52:2:533,246.61,31.65,352.72,0.546,935.447,230.01
943,943,15/3/2021,13:52:2:689,246.11,31.69,389.02,0.546,935.447,230.01
944,944,15/3/2021,13:52:2:761,246.11,31.63,385.42,0.546,935.447,230.01
945,945,15/3/2021,13:52:2:871,246.11,31.59,350.02,0.546,935.447,230.01
946,946,15/3/2021,13:52:2:980,246.61,31.65,372.62,0.546,935.447,230.01
947,947,15/3/2021,13:52:3:90,246.61,31.57,369.82,0.546,935.447,230.01
948,948,15/3/2021,13:52:3:199,246.61,31.65,380.82,0.546,935.297,230.01
949,949,15/3/2021,13:52:3:308,246.61,31.59,386.02,0.546,935.447,230.01
950,950,15/3/2021,13:52:3:449,245.61,31.69,367.72,0.547,935.447,230.01
951,951,15/3/2021,13:52:3:527,246.61,31.67,371.02,0.547,935.447,230.01
952,952,15/3/2021,13:52:3:637,246.61,31.63,371.32,0.547,935.447,230.01
953,953,15/3/2021,13:52:3:746,246.11,31.61,366.82,0.5479999999999999,935.297,230.01
954,954,15/3/2021,13:52:3:856,246.61,31.67,371.02,0.5479999999999999,935.447,230.01
955,955,15/3/2021,13:52:3:965,246.61,31.69,367.72,0.5479999999999999,935.447,230.01
956,956,15/3/2021,13:52:4:74,246.61,31.69,370.72,0.547,935.297,230.01
957,957,15/3/2021,13:52:4:215,246.11,31.61,386.32,0.547,935.297,230.01
958,958,15/3/2021,13:52:4:293,246.11,31.61,390.32,0.547,935.297,230.01
959,959,15/3/2021,13:52:4:449,246.11,31.63,350.62,0.547,935.447,230.01
960,960,15/3/2021,13:52:4:512,246.11,31.69,389.32,0.547,935.297,230.01
961,961,15/3/2021,13:52:4:621,246.11,31.67,371.62,0.547,935.297,230.01
962,962,15/3/2021,13:52:4:730,246.61,31.61,349.42,0.547,935.447,230.01
963,963,15/3/2021,13:52:4:840,246.11,31.65,386.92,0.547,935.297,230.01
964,964,15/3/2021,13:52:4:949,245.61,31.59,357.32,0.547,935.447,230.01
965,965,15/3/2021,13:52:5:58,246.61,31.63,389.32,0.547,935.147,230.01
966,966,15/3/2021,13:52:5:230,246.11,31.57,390.02,0.547,935.297,230.01
967,967,15/3/2021,13:52:5:277,246.11,31.51,389.32,0.547,935.297,230.01
968,968,15/3/2021,13:52:5:387,246.11,31.61,390.02,0.547,935.297,230.01
969,969,15/3/2021,13:52:5:496,246.11,31.51,388.72,0.547,935.297,230.01
970,970,15/3/2021,13:52:5:605,246.61,31.53,386.92,0.547,935.147,230.01
971,971,15/3/2021,13:52:5:714,241.71,31.63,386.62,0.547,935.297,230.01
