,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
89,25/3/2021,10:52:49:858,944.05,31.12,1249.46,0.542,951.198,1242.142349076609,944.05
90,25/3/2021,10:52:49:920,945.55,31.2,1245.26,0.542,951.198,1242.2569414462832,944.05
91,25/3/2021,10:52:50:30,944.55,31.26,1239.16,0.542,951.198,1242.3736062921116,944.05
92,25/3/2021,10:52:50:139,945.05,31.24,1243.66,0.542,951.198,1242.4925327047556,944.05
93,25/3/2021,10:52:50:248,944.05,31.26,1243.96,0.542,951.198,1242.6139156897402,944.05
94,25/3/2021,10:52:50:357,948.45,31.26,1255.86,0.542,951.198,1242.737965526758,944.05
95,25/3/2021,10:52:50:467,947.05,31.22,1244.96,0.542,951.198,1242.864955032529,944.05
96,25/3/2021,10:52:50:592,944.05,31.24,1226.86,0.542,951.198,1242.9952326434955,944.05
97,25/3/2021,10:52:50:686,946.05,31.2,1243.36,0.542,951.348,1243.1291488389352,944.05
98,25/3/2021,10:52:50:857,945.05,31.26,1238.16,0.542,951.348,1243.2669765629687,944.05
99,25/3/2021,10:52:50:904,944.05,31.28,1248.26,0.542,951.198,1243.4089140094031,944.05
100,25/3/2021,10:52:51:14,948.95,31.2,1245.86,0.542,951.198,1243.5551358221492,944.05
101,25/3/2021,10:52:51:123,944.05,31.16,1246.76,0.542,951.198,1243.7058373065433,944.05
102,25/3/2021,10:52:51:233,944.55,31.26,1247.66,0.542,951.198,1243.8612568228234,944.05
103,25/3/2021,10:52:51:342,946.05,31.3,1247.36,0.542,951.198,1244.0216824058587,944.05
104,25/3/2021,10:52:51:451,944.05,31.2,1232.36,0.542,951.348,1244.1874399738506,944.05
105,25/3/2021,10:52:51:607,946.05,31.3,1246.16,0.542,951.198,1244.3588483934673,944.05
106,25/3/2021,10:52:51:670,946.55,31.26,1223.86,0.542,951.198,1244.5361609041456,944.05
107,25/3/2021,10:52:51:779,944.05,31.14,1265.36,0.542,951.048,1244.719537861718,944.05
108,25/3/2021,10:52:51:888,944.55,31.22,1240.66,0.542,951.198,1244.9090904953205,944.05
109,25/3/2021,10:52:51:998,944.55,31.28,1225.06,0.542,951.198,1245.104935786828,944.05
110,25/3/2021,10:52:52:108,944.55,31.22,1245.26,0.542,951.198,1245.3071479618725,944.05
