Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
5275,5275,26/1/2021,11:1:39:533,276.41,31.47,419.92,0.5529999999999999,942.047,424.4024719116732,276.41
5276,5276,26/1/2021,11:1:39:643,276.41,31.51,424.42,0.5529999999999999,942.047,424.3865941291725,276.91
5277,5277,26/1/2021,11:1:39:752,277.41,31.41,420.22,0.5529999999999999,942.047,424.3674720084886,278.81
5278,5278,26/1/2021,11:1:39:861,276.41,31.47,423.52,0.5529999999999999,942.047,424.34513370002037,277.41
5279,5279,26/1/2021,11:1:39:971,276.41,31.39,431.22,0.5529999999999999,942.047,424.3196049324263,276.41
5280,5280,26/1/2021,11:1:40:95,275.91,31.47,427.82,0.5529999999999999,942.047,424.29091234352836,276.41
5281,5281,26/1/2021,11:1:40:189,276.41,31.39,423.22,0.5529999999999999,942.047,424.25908701443467,277.81
5282,5282,26/1/2021,11:1:40:345,275.91,31.37,439.12,0.5529999999999999,941.8969999999999,424.22416557100024,277.41
5283,5283,26/1/2021,11:1:40:408,276.41,31.43,438.82,0.5529999999999999,942.047,424.18619304724405,276.91
5284,5284,26/1/2021,11:1:40:518,276.41,31.37,439.42,0.5529999999999999,942.047,424.1452298347343,277.41
5285,5285,26/1/2021,11:1:40:627,275.91,31.43,439.12,0.5529999999999999,941.8969999999999,424.101357342274,276.91
5286,5286,26/1/2021,11:1:40:736,276.41,31.45,403.12,0.5529999999999999,942.047,424.05467627219286,276.91
5287,5287,26/1/2021,11:1:40:845,276.41,31.43,439.42,0.5529999999999999,941.8969999999999,424.0052965400366,276.91
5288,5288,26/1/2021,11:1:40:955,277.41,31.45,402.82,0.5529999999999999,942.047,423.95332714180944,277.41
5289,5289,26/1/2021,11:1:41:95,276.41,31.37,421.72,0.5529999999999999,942.047,423.89887112691554,277.41
5290,5290,26/1/2021,11:1:41:174,276.41,31.43,421.72,0.5529999999999999,941.8969999999999,423.842022388928,276.91
5291,5291,26/1/2021,11:1:41:283,276.41,31.37,421.12,0.5529999999999999,942.047,423.7828660029138,276.91
5292,5292,26/1/2021,11:1:41:392,275.91,31.39,434.52,0.5529999999999999,942.047,423.7214830350229,276.41
5293,5293,26/1/2021,11:1:41:502,276.91,31.37,430.82,0.5529999999999999,941.8969999999999,423.65795679157776,276.91
5294,5294,26/1/2021,11:1:41:611,276.91,31.43,441.82,0.5529999999999999,942.047,423.5923799217991,276.41
