,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Pressure_tmp
110,110,11/3/2021,16:22:38:353,312.02,31.06,460.82,0.545,925.996,311.12
111,111,11/3/2021,16:22:38:463,312.02,31.06,429.92,0.545,926.146,311.12
112,112,11/3/2021,16:22:38:572,312.02,31.12,451.32,0.545,926.146,311.12
113,113,11/3/2021,16:22:38:697,311.52,31.02,451.92,0.545,926.146,311.12
114,114,11/3/2021,16:22:38:791,311.52,31.06,451.62,0.545,926.146,311.12
115,115,11/3/2021,16:22:38:932,312.52,31.0,465.62,0.544,925.996,311.12
116,116,11/3/2021,16:22:39:10,312.02,31.08,431.82,0.544,926.146,311.12
117,117,11/3/2021,16:22:39:119,312.02,31.0,431.82,0.545,926.296,311.12
118,118,11/3/2021,16:22:39:228,312.52,30.97,472.12,0.544,926.146,311.12
119,119,11/3/2021,16:22:39:338,311.52,31.1,457.72,0.545,926.296,311.12
120,120,11/3/2021,16:22:39:447,312.02,31.1,451.92,0.545,926.146,311.12
121,121,11/3/2021,16:22:39:556,311.12,31.08,448.92,0.545,926.146,311.12
122,122,11/3/2021,16:22:39:697,311.52,31.0,447.92,0.545,926.146,311.12
123,123,11/3/2021,16:22:39:775,312.52,30.97,449.52,0.545,926.146,311.12
124,124,11/3/2021,16:22:39:931,312.02,31.02,468.72,0.545,926.146,311.12
125,125,11/3/2021,16:22:39:994,311.52,30.99,451.62,0.545,926.146,311.12
126,126,11/3/2021,16:22:40:103,311.52,30.93,432.12,0.545,926.146,311.12
127,127,11/3/2021,16:22:40:212,312.02,31.06,431.82,0.545,926.146,311.12
128,128,11/3/2021,16:22:40:322,311.52,30.97,431.82,0.545,926.146,311.12
129,129,11/3/2021,16:22:40:447,312.52,31.0,429.02,0.545,926.146,311.12
130,130,11/3/2021,16:22:40:541,312.02,31.08,428.42,0.545,926.146,311.12
131,131,11/3/2021,16:22:40:681,311.52,31.0,439.42,0.545,926.146,311.12
132,132,11/3/2021,16:22:40:759,312.02,31.1,429.32,0.545,926.146,311.12
133,133,11/3/2021,16:22:40:869,312.52,31.08,443.72,0.545,926.146,311.12
134,134,11/3/2021,16:22:40:978,311.52,31.02,429.02,0.545,926.146,311.12
135,135,11/3/2021,16:22:41:88,312.02,31.08,448.92,0.545,926.146,311.12
136,136,11/3/2021,16:22:41:197,312.02,31.06,429.62,0.545,926.296,311.12
137,137,11/3/2021,16:22:41:306,312.02,30.99,431.22,0.545,926.146,311.12
138,138,11/3/2021,16:22:41:431,313.52,31.0,449.22,0.544,926.146,311.12
139,139,11/3/2021,16:22:41:525,312.02,31.08,451.62,0.545,926.146,311.12
140,140,11/3/2021,16:22:41:681,311.52,31.02,433.02,0.545,926.146,311.12
141,141,11/3/2021,16:22:41:744,312.02,31.1,429.32,0.545,926.146,311.12
142,142,11/3/2021,16:22:41:853,311.52,31.04,468.72,0.545,926.146,311.12
143,143,11/3/2021,16:22:41:962,311.52,30.99,430.52,0.545,926.146,311.12
144,144,11/3/2021,16:22:42:72,312.02,31.0,428.72,0.545,926.146,311.12
145,145,11/3/2021,16:22:42:181,311.52,30.99,444.62,0.545,926.146,311.12
146,146,11/3/2021,16:22:42:291,312.02,30.99,429.02,0.545,926.146,311.12
147,147,11/3/2021,16:22:42:431,311.52,31.0,449.52,0.545,926.146,311.12
148,148,11/3/2021,16:22:42:504,313.52,31.04,430.22,0.545,926.146,311.12
149,149,11/3/2021,16:22:42:614,312.52,31.0,459.52,0.545,925.996,311.12
150,150,11/3/2021,16:22:42:728,311.52,30.95,451.32,0.545,925.996,311.12
151,151,11/3/2021,16:22:42:837,311.52,31.12,465.92,0.545,926.146,311.12
152,152,11/3/2021,16:22:42:947,312.02,30.95,445.82,0.545,926.146,311.12
153,153,11/3/2021,16:22:43:56,312.52,31.02,449.22,0.545,925.996,311.12
154,154,11/3/2021,16:22:43:196,311.52,30.95,432.12,0.545,926.146,311.12
155,155,11/3/2021,16:22:43:275,312.02,31.04,449.22,0.544,926.146,311.12
156,156,11/3/2021,16:22:43:431,312.02,30.99,447.62,0.544,926.146,311.12
157,157,11/3/2021,16:22:43:493,312.02,31.06,429.62,0.544,926.146,311.12
158,158,11/3/2021,16:22:43:603,312.02,31.02,428.72,0.544,926.146,311.12
159,159,11/3/2021,16:22:43:712,312.02,30.97,430.22,0.545,926.146,311.12
160,160,11/3/2021,16:22:43:821,312.02,31.1,428.72,0.545,926.146,311.12
